kode_wilayah,nama_wilayah,level_wilayah,kode_provinsi,nama_provinsi
1100,Provinsi Aceh,Provinsi,1100,Provinsi Aceh
1101,Kabupaten Aceh Selatan,Kab/Kota,1100,Provinsi Aceh
1102,Kabupaten Aceh Tenggara,Kab/Kota,1100,Provinsi Aceh
1103,Kabupaten Aceh Timur,Kab/Kota,1100,Provinsi Aceh
1104,Kabupaten Aceh Tengah,Kab/Kota,1100,Provinsi Aceh
1105,Kabupaten Aceh Barat,Kab/Kota,1100,Provinsi Aceh
1106,Kabupaten Aceh Besar,Kab/Kota,1100,Provinsi Aceh
1107,Kabupaten Pidie,Kab/Kota,1100,Provinsi Aceh
1108,Kabupaten Aceh Utara,Kab/Kota,1100,Provinsi Aceh
1109,Kabupaten Simeulue,Kab/Kota,1100,Provinsi Aceh
1110,Kabupaten Aceh Singkil,Kab/Kota,1100,Provinsi Aceh
1111,Kabupaten Bireuen,Kab/Kota,1100,Provinsi Aceh
1112,Kabupaten Aceh Barat Daya,Kab/Kota,1100,Provinsi Aceh
1113,Kabupaten Gayo Lues,Kab/Kota,1100,Provinsi Aceh
1114,Kabupaten Aceh Jaya,Kab/Kota,1100,Provinsi Aceh
1115,Kabupaten Nagan Raya,Kab/Kota,1100,Provinsi Aceh
1116,Kabupaten Aceh Tamiang,Kab/Kota,1100,Provinsi Aceh
1117,Kabupaten Bener Meriah,Kab/Kota,1100,Provinsi Aceh
1118,Kabupaten Pidie Jaya,Kab/Kota,1100,Provinsi Aceh
1171,Kota Banda Aceh,Kab/Kota,1100,Provinsi Aceh
1172,Kota Sabang,Kab/Kota,1100,Provinsi Aceh
1173,Kota Lhokseumawe,Kab/Kota,1100,Provinsi Aceh
1174,Kota Langsa,Kab/Kota,1100,Provinsi Aceh
1175,Kota Subulussalam,Kab/Kota,1100,Provinsi Aceh
1200,Provinsi Sumatera Utara,Provinsi,1200,Provinsi Sumatera Utara
1201,Kabupaten Tapanuli Tengah,Kab/Kota,1200,Provinsi Sumatera Utara
1202,Kabupaten Tapanuli Utara,Kab/Kota,1200,Provinsi Sumatera Utara
1203,Kabupaten Tapanuli Selatan,Kab/Kota,1200,Provinsi Sumatera Utara
1204,Kabupaten Nias,Kab/Kota,1200,Provinsi Sumatera Utara
1205,Kabupaten Langkat,Kab/Kota,1200,Provinsi Sumatera Utara
1206,Kabupaten Karo,Kab/Kota,1200,Provinsi Sumatera Utara
1207,Kabupaten Deli Serdang,Kab/Kota,1200,Provinsi Sumatera Utara
1208,Kabupaten Simalungun,Kab/Kota,1200,Provinsi Sumatera Utara
1209,Kabupaten Asahan,Kab/Kota,1200,Provinsi Sumatera Utara
1210,Kabupaten Labuhanbatu,Kab/Kota,1200,Provinsi Sumatera Utara
